"ID","adj.pval"
"780",0.000104356549452191
"5982",6.03820965299628e-14
"3310",1
"7849",1
"2978",0.0861846856152481
"7318",2.45892745815916e-16
"7067",1
"11099",4.39267370349112e-21
"6352",1
"1571",1
"2049",5.30183359012078e-11
"2101",1
"1548",1
"949",1
"23170",4.49168097539793e-15
"112597",1
"10406",1
"5594",1
"203102",1
"128153",1
"163154",6.96667158213756e-05
"54899",1
"57617",1
"91283",0.548624002680825
"113235",1
"91937",1
"283375",0.0296049889433648
"79844",1.97493086553351e-09
"90423",0.0667542919330043
"172",1
"148113",1.94714314155646e-07
"54965",5.17821239763021e-10
"256130",1
"91252",1
"266675",1
"221264",0.374743952808132
"84940",1
"113277",1
"84920",3.07359808632431e-06
"125488",2.30620723411893e-05
"91624",3.10327448475872e-22
"123207",1
"84839",1
"4238",1
"2140",1
"170575",4.31888978477648e-23
"11202",0.00752778220051856
"85478",1
"159091",1
"220136",1
"100131755",6.11551468656024e-07
"5930",1
"92806",0.0274670843415772
"11078",1.95177583262239e-18
"117144",1
"3233",0.00373823656788188
"145258",0.517112100671058
"121340",1
"5150",1
"29883",1
"9946",2.90534379943082e-07
"260429",1
"255057",0.0750191382747022
"157777",1
"114609",1
"116842",1
"124540",9.22462007416932e-23
"85477",1
"140690",1
"132321",0.139255742259826
"84449",1
"201158",1
"157506",1
"135295",0.000487132560416628
"149647",1
"202309",0.000201804458998297
"80274",5.08079938531702e-17
"203111",1
"164127",1
"150350",1
"81629",1
"140870",1
"160364",3.35500157335424e-21
"2972",0.67690893901498
"123591",1
"571",0.585018599592085
"163688",1
"126206",1
"146852",1
"165530",1
"245909",1
"259240",1
"121441",0.00626465517594147
"254173",1
"125972",1
"220979",0.000499816417004011
"2117",0.000637573948586255
"317719",1
"80213",1
"220992",1
"116966",1
"162387",1
"64072",1
"150709",1
"84465",1
"11318",1
"80712",0.321568257520077
"83656",1
"147199",1
"285126",1
"126248",1
"158471",1
"125997",1
"92949",1
"85509",1
"169966",1
"89778",1
"118421",1
"259234",0.000106188790993106
"83451",6.34778172407344e-08
"23527",1
"2593",1.65540558873223e-13
"113026",1
"3664",2.94219110352019e-07
"5788",2.26904868538741e-05
"10905",1.81233786944409e-09
"65059",0.0573955929987948
"140775",1
"114294",0.00184393797124656
"646",0.0257656288883074
"58538",1
"246269",1
"91734",1
"1584",0.430397408557918
"129685",0.00535195946405471
"23242",9.5520662922971e-13
"114836",1
"7579",0.0269998716224588
"151306",0.00935138181895771
"54933",0.258188598575458
"80144",0.10002105057329
"84446",1
"286204",1
"23704",0.084842625997671
"146894",5.187556650812e-13
"142680",1
"57094",1
"164684",1
"204851",0.0374485879402485
"27085",1.6191965800005e-13
"130399",0.003827184026549
"157753",1
"201798",1
"116969",1
"196472",1
"84536",1.85830802686317e-06
"204801",1
"245973",0.000174035700804988
"149461",0.0158991939143404
"143187",1
"221458",1
"115811",1
"117289",1
"85439",1
"145264",1
"137994",1
"7809",0.0187411034068303
"170482",1
"58484",7.57537228424071e-26
"146547",1
"158866",0.0927883292204977
"10743",0.00814134908177156
"65061",1
"148268",1
"119369",1
"118663",1
"83597",0.00670408954507836
"54084",1
"145282",0.000494812710501222
"135398",0.0844546094383583
"200420",0.0454027546823255
"140469",1
"8747",1
"205860",1
"150000",5.59600582420571e-13
"3594",1
"11036",1
"162514",1
"168975",1
"94160",1
"118856",1
"147744",0.00852397085588142
"246176",0.362611946984027
"93107",1
"222659",1
"27091",1
"54143",1
"286967",1
"259239",1
"282617",1
"3716",0.0189281959409527
"56990",1
"32",1.9211252755949e-15
"64326",1
"10228",0.0510647288769597
"54443",4.45937407981737e-25
"163778",1
"5439",1.78619826403281e-05
"84941",1
"51095",1
"81615",4.24718515086139e-07
"394",1
"64224",1
"23210",1
"10847",1
"9064",1.4134211536556e-06
"22901",1
"94039",1
"5781",1
"113730",1
"83858",2.46175466608485e-11
"199777",1
"80012",1
"3590",1.53816824496597e-10
"8797",1
"117584",1
"89781",1
"127933",8.22459706392763e-08
"84203",0.150034283006453
"89795",0.00348753271902633
"55322",0.00232708903909401
"56099",1
"23085",1
"201163",1
"84989",1
"57554",1
"10044",3.24696383364762e-29
"79660",1
"84679",9.08874221781286e-08
"3321",0.0020085535325632
"222546",1
"116093",1
"150353",1
"114131",0.102598554652054
"23181",1
"57646",4.05269714162585e-10
"57082",3.92285633289491e-20
"123228",1
"29841",0.0106057722836258
"140894",0.734885300359108
"57524",3.03790678014237e-11
"93589",1
"115761",1
"114134",1
"123606",1
"113691",1
"114769",3.68729218718335e-14
"142679",1
"124637",1.56453083185505e-05
"23057",0.239254435538388
"6521",1
"200407",0.00711044555309764
"59350",1.04859651301044e-25
"79925",0.129542156726269
"645455",1
"92675",1
"113201",1
"2246",1
"10777",1
"158800",1
"170691",1
"84973",1
"50846",1
"137735",1
"122773",1.12205141094481e-17
"253260",1
"5098",0.00356915177966305
"81832",1
"11060",1.32622416908468e-05
"54879",1
"150590",0.317912539347093
"131096",0.600268101192283
"23263",1
"133482",0.0195237017821694
"151649",1
"147700",4.04288154210758e-11
"117286",5.46942401933869e-05
"253559",1
"157983",1
"9734",1
"162515",1
"91147",1
"90161",2.86685520355889e-11
"84254",1
"90589",1
"147837",1
"286826",3.45994931385638e-11
"338339",0.0107442648914605
"9481",1
"222545",1
"135250",1
"204962",5.97607201755635e-12
"147687",1
"163115",1
"92797",0.00665847085408053
"7095",6.03009471777397e-08
"10345",1
"122809",1
"286122",1
"284306",1
"6492",0.264040233892474
"150696",2.68821032242871e-11
"7099",8.46758107416049e-18
"203062",1
"92291",1
"3925",2.71121583317704e-14
"89790",1
"5992",1
"117166",1
"29843",0.0105301325184527
"136259",1.3146165562933e-06
"158046",1
"680",1
"54495",0.506023620270792
"252884",1
"115111",1
"112574",0.175398974635977
"162517",1
"192134",0.272826014239401
"163486",1
"285267",1
"22858",1
"161142",1
"79370",1
"266722",1
"10861",1
"24146",1
"115273",0.231352190445005
"139411",0.0136703688143128
"130951",1
"201516",1
"127731",1
"197196",1
"3362",0.00238834947166618
"158809",1
"162699",1
"284618",1
"59285",1
"160492",1
"148046",0.745845999639587
"126859",1
"80161",1
"131450",1
"114042",1
"220202",1
"89866",1
"139285",1
"157848",0.0026823925354024
"219793",1
"90332",0.00667523117835499
"57010",2.48752871764223e-05
"115650",0.552178901276757
"94032",5.11415319489546e-09
"149992",1
"170850",1
"154089",1.12318881897583e-06
"93986",1
"124872",0.126012505652706
"158521",1
"148823",8.03446710555778e-05
"114132",2.35634265422038e-06
"149233",1
"286514",1
"80381",1
"282616",0.00316554854998381
"282618",1
"132989",1
"63979",3.55963209851378e-17
"22999",1
"57605",0.0657871190334787
"57575",1
"257397",1
"131890",1
"79258",1
"5151",1
"171389",1
"254268",1
"203430",1
"84126",1
"85416",7.68456090147562e-07
"284",3.08255772578943e-27
"127670",1
"149373",0.00828346659687373
"2565",1
"56666",3.2866582689354e-08
"163071",1
"148870",1
"161502",0.065250705123803
"159162",1
"4761",0.731500631098618
"439936",1
"83655",1
"1768",1
"131578",1.93810416781563e-07
"54777",1
"93010",6.121040121869e-10
"158506",1
"9204",0.00414177794830485
"137868",1
"100507431",5.16040060006811e-08
"7484",1
"374407",1
"10695",1
"9522",1
"151477",1
"3038",1
"2249",1
"169026",1
"439933",1
"160140",1
"284418",1
"120065",1
"143241",1
"246778",7.06770129630841e-08
"132141",1
"245938",1
"280664",0.544785330937938
"245908",1
"5314",0.221645839127817
"168507",1
"139378",1
"10178",1
"254958",0.280536450220804
"138474",0.821732809306446
"129684",1
"9401",1.07400257210479e-21
"165082",1
"117532",1
"140771",1
"23299",1
"114026",1
"79400",1
"282706",1
"57211",1.09846368922377e-07
"56062",1
"165829",0.0705337204391772
"6821",1
"221393",2.04791096659679e-05
"133396",0.147193568373439
"94122",1
"10806",1
"222611",1
"6854",1
"136371",6.58524407148116e-07
"170572",1
"84807",0.0650928450924199
"146722",8.15714132525023e-18
"84694",1
"7483",1
"64090",0.00164900700214444
"8396",0.0156277039253482
"113746",0.0453001462930187
"164237",1
"256369",1
"162394",1
"89777",0.0107004557327182
"126326",1
"114771",1
"85481",1
"89883",0.0917471852631695
"116255",0.314947478959548
"27201",0.360306604808624
"132243",0.0614536016817439
"134860",1
"114814",1
"91977",0.000696458328804003
"149428",0.000365929702626163
"140456",1
"266553",0.172402269489202
"121214",1
"120066",1
"135644",1
"286828",1
"128488",1
"155051",0.376830426971927
"147323",1
"143501",1
"84322",1
"10018",6.10778581734111e-13
"245932",1
"255061",1
"200765",9.15776292489481e-07
"54890",1
"26112",1.43516704252756e-22
"4799",1
"1829",1.43695580478974e-15
"134553",1
"89890",1
"1024",1
"5753",0.963061750221478
"85407",1
"11329",1
"117145",1
"63967",9.67918691426034e-13
"57786",8.95493868762079e-07
"284403",2.15896054718293e-08
"221074",1
"165918",1
"79987",2.29172073353563e-29
"652276",0.00215224909343081
"2626",0.00322160086971325
"123036",1
"203228",7.42505819298867e-11
"130535",1
"8462",1.83904458549392e-06
"126549",1
"55558",5.78495590923045e-06
"53918",5.48658230726368e-21
"144811",0.0445941561274396
"202020",1
"152405",1
"202151",1
"23161",1
"221656",1
"245972",1
"89884",1
"84984",1
"8701",1
"148137",0.0015926650854325
"113622",0.000192244879946783
"11276",1
"64403",6.20196151653562e-08
"51091",1
"2901",0.0569384191422033
"164312",2.2471446453806e-20
"27153",0.00502644665739027
"57158",1
"8654",7.74831722001494e-14
"117157",5.06089831552776e-09
"6753",0.0119097389865495
"171019",1
"64794",1
"89766",1
"158158",1
"117583",5.94629738972675e-09
"667",1
"126068",1
"257194",1.02244772638124e-21
"115352",1
"138009",1
"219736",1
"253868",1
"285598",1
"84900",4.44974843186851e-09
"162282",1
"196374",0.00105720414488704
"79741",1
"7592",1
"84450",1
"9949",0.0157352244242177
"150864",8.88378614590311e-06
"147949",1
"165140",1
"7798",0.0580158761622176
"7626",1
"145978",1
"54014",1
"220388",0.0374577964162503
"137209",8.72376070055994e-06
"151393",8.68807274136342e-17
"170692",0.154246977329327
"56135",1
"147746",0.00232863926668109
"220108",1
"286183",1
"80760",2.82719827234353e-36
"2187",2.62901339284715e-11
"84197",0.399962673770917
"163051",1
"284001",0.0725544562634248
"27127",1
"254065",0.00334615190526683
"92591",3.17607653653575e-05
"139599",1
"147664",1
"89792",1
"146512",0.00255472622873391
"151254",1
"2837",1
"124590",1
"6853",0.84360330931342
"151295",0.0178896141612013
"246175",1
"162494",4.11169813713101e-05
"255403",1
"57609",0.0635208261783502
"206358",0.718169468599406
"154007",2.66320888813204e-05
"147741",1
"25914",1
"153579",2.58986466930368e-31
"150962",1
"257068",1
"150147",1
"89782",1
"144715",1
"148254",1
"222950",1
"124923",0.558611746680493
"117195",1
"154664",1
"84873",1
"1441",3.05873206028033e-15
"146723",1
"574029",1
"160851",1
"130827",5.69951120400081e-15
"123775",1
"149986",6.81988376605542e-08
"841",1
"151056",1
"284756",1
"6526",9.3632990612008e-08
"124602",0.528855908470332
"200172",0.0461629990493009
"27197",1
"158787",1
"27199",1
"168448",1
"27233",0.0871244647964732
"7003",1
"117155",1
"134187",1
"122042",1
"222389",3.59657324491565e-05
"6571",1.74826137931286e-08
"136263",1
"126868",1
"285696",1
"166968",1
"163859",1
"83650",1
"131669",1
"65217",1
"27327",1
"3742",0.192569076601499
"196528",1
"205147",1
"161725",1
"30816",1
"80028",2.65194603885721e-13
"154386",0.121438428715729
"285848",1
"120863",1
"200539",7.04773809953181e-10
"125965",0.000905204174989248
"199786",1
"284656",0.000166936430289806
"128025",1
"114781",8.54803226107366e-07
"256957",1
"165631",1
"143872",1
"84931",0.0141764133597508
"84879",1.7476199505049e-17
"472",1
"221301",1
"27031",6.26569120343766e-06
"285973",0.0140576169363914
"254158",1
"146779",0.245736723258858
"7021",1
"152206",1
"147081",8.54189872704178e-13
"259249",1
"3077",1
"117579",1
"64478",1
"23499",1.32575207220415e-28
"80070",1
"27164",1
"84871",1
"80078",0.000840488454406355
"246213",1
"283171",1
"150538",1
"54715",1
"146857",0.545053335057978
"283461",1
"149465",1
"285668",1
"170689",2.48626034153206e-12
"285780",1
"128178",0.252673464366041
"146183",1
"203238",1
"163720",1
"147276",1
"283463",1
"127707",1
"100505621",1
"147429",1
"85445",1
"439941",1
"148345",1
"123624",1.62363767558068e-24
"285759",4.70010236318139e-12
"283860",1
"283847",1
"283446",1
"142686",1
"126638",1
"100996279",1
"196740",1.10191308952222e-14
"284992",1.97412952527994e-10
"285051",1
"171483",1
"286023",1
"221223",1
"286464",1
"347442",1
"54768",1
"8632",1
"146861",1
"150596",1
"100288966",1
"283165",1
"284339",0.00682238491994333
"145858",1
"254187",1
"144360",1
"151278",0.022902681878563
"284099",1
"146279",1
"283455",1
"5075",0.770698617660719
"157739",1
"439916",0.409214145111221
"327657",1
"26223",1
"445815",7.04462623144973e-32
"117196",1
"144568",1
"130749",1
"2830",1
"259283",1
"9125",0.000465235934119062
"125111",0.0519680021783074
"3228",1
"55350",1
"150678",7.65155935671718e-05
"222894",0.014374501263623
"170949",1
"246705",1
"140596",1
"338323",1
"1607",1
"126204",1
"126205",1
"338321",1
"6877",1
"80834",1
"3688",1
"5046",1
"84905",0.00718588181275815
"56704",1
"338322",1
"5905",1.30900599965002e-11
"10150",0.697759436598995
"319101",1
"4512",1
"121391",1
"3177",0.00130776483581337
"4009",1
"202243",1
"83550",1
"286676",1
"64062",1
"317701",1
"317705",1
"4536",1
"83551",1
"259285",1
"5726",1
"259286",1
"259287",1
"134285",3.72243019425431e-05
"317703",1
"259296",1
"926",1
"140733",2.78747475397195e-14
"23576",0.00166446959674115
"196500",0.0450315102476246
"4508",1
"3010",7.49563716808931e-05
"4513",1
"114757",0.415204272262252
"1943",0.0105805211035105
"338376",0.782440890562447
"4541",1
"10407",1
"285672",1.91343803806647e-07
"7069",1
"79742",0.00567387860845703
"4104",0.00204267135777644
"283932",0.129252342159347
"56655",1
"4537",1
"10158",1
"100131997",1.24523840008999e-05
"644165",3.52641730620468e-11
"6887",0.117089813385194
"3640",0.00192939017754395
"50511",1
"259236",1
"118430",1
"64225",0.139249683414649
"193629",1
"283212",0.00403899195830743
"117608",1
"2296",1
"101929344",1
"129868",1
"287015",1
"161835",1
"283742",1
"124989",0.111717325186736
"153745",0.317940358692825
"219621",0.110679767391502
"150159",1
"285962",1
"200132",6.59907694971004e-14
"145942",1
"133522",2.60516176567179e-12
"286046",0.508295964241915
"114960",1
"158055",0.45957117595165
"161176",1.96174267386152e-23
"285025",3.57835061327798e-29
"139324",1
"124359",1
"162681",0.000629794862109539
"255928",0.397063701749904
"166979",1
"6975",1
"146177",0.00321917966361233
"150197",0.0147578285343554
"135458",1
"256933",0.00135630093835509
"91057",9.93032279796367e-24
"84859",1
"92105",0.00107774687573184
"55740",1
"140901",1
"127255",1
"89953",1
"261726",7.11439640149927e-11
"154807",1
"5551",4.24623166941964e-08
"144699",1
"285755",3.45651961927896e-06
"6667",1
"147339",1
"131965",1.70223868656631e-06
"151648",2.27166554819086e-13
"148789",3.96731871576861e-11
"84869",1
"5286",0.00194896965640271
"79671",1
"148266",1
"126731",1
"150290",3.27514899307783e-06
"90874",1
"163049",1
"1131",1
"203100",1
"84847",0.0260522335561773
"84950",1
"152756",1
"121268",9.87383338637776e-06
"84331",1.35620177650504e-07
"154881",1
"147694",1
"219287",1
"220441",1
"222487",1
"84146",1
"221322",1
"283358",1
"254050",1
"84902",1.62349808296655e-08
"122481",1
"196441",1
"3656",1
"148645",0.0190551290588262
"151194",1
"283310",1
"85009",1
"143684",1
"128497",1
"115861",1
"84850",1
"84223",1
"254394",1
"253143",0.0130815386480934
"84962",1
"114792",1
"285761",1
"89886",0.000154017577623665
"256356",1
"152048",1
"148581",1
"155368",1
"196872",0.148538088342404
"92092",8.86823216024958e-13
"153020",6.57277930672837e-11
"219833",0.0015056532252331
"54058",1.25584974315009e-06
"84162",1
"161003",1
"150622",1
"222235",1
"196951",1
"112487",1
"6658",1
"124783",0.0913128204408313
"132200",1
"159296",1
"169693",1
"57650",4.9455677499171e-09
"84983",1
"79816",1
"170082",1
"25812",0.165881728521926
"283450",1
"132112",1
"146325",1
"120400",1
"285154",1
